simID,time,cellID,cellType,x,y
0,0,1,A,5.138587963,6.3919021
0,0,2,A,2.882622516,7.958544772
0,0,3,A,8.585201841,7.519884824
0,0,4,A,7.081224876,8.083876186
0,0,5,A,9.58785315,6.955893462
0,0,6,A,5.577247911,3.634610998
0,0,7,A,8.459870427,3.00795393
0,0,8,A,9.023861789,4.073270946
0,0,9,A,6.705230635,9.901181685
0,0,10,A,6.329236393,3.571945291
0,0,11,A,7.331887703,9.462521737
0,0,12,A,9.337190323,7.331887703
0,0,13,A,6.078573566,9.337190323
0,0,14,A,4.699928015,3.947939533
0,0,15,A,3.697276705,3.885273826
0,0,16,A,9.775850271,6.642564928
0,0,17,A,6.329236393,4.762593722
0,0,18,A,6.3919021,7.958544772
0,0,19,A,4.574596601,7.018559169
0,0,20,A,9.086527496,4.574596601
0,0,21,A,5.953242152,3.822608119
0,0,22,A,4.449265187,9.963847392
0,0,23,A,6.579899221,5.639913618
0,0,24,A,6.767896341,10.21451022
0,0,25,A,3.697276705,5.577247911
0,0,26,A,5.075922256,6.329236393
0,0,27,A,5.013256549,4.449265187
0,0,28,A,6.266570687,4.825259429
0,0,29,A,9.086527496,7.269221996
0,0,30,A,7.833213358,3.133285343
0,0,31,A,7.081224876,2.255965447
0,0,32,A,9.963847392,5.075922256
0,0,33,A,8.146541893,5.075922256
0,0,34,A,8.021210479,5.013256549
0,0,35,A,6.767896341,3.070619636
0,0,36,A,7.20655629,7.833213358
0,0,37,A,2.945288223,7.20655629
0,0,38,A,7.39455341,7.331887703
0,0,39,A,4.574596601,5.702579325
0,0,40,A,6.893227755,8.459870427
0,0,41,A,3.947939533,3.509279584
0,0,42,A,3.133285343,7.143890583
0,0,43,A,3.634610998,8.271873306
0,0,44,A,4.950590842,9.086527496
0,0,45,A,7.20655629,6.20390498
0,0,46,A,5.20125367,10.27717593
0,0,47,A,8.146541893,6.830562048
0,0,48,A,4.323933774,6.329236393
0,0,49,A,9.462521737,5.765245032
0,0,50,A,6.266570687,8.710533254
0,0,51,B,7.20655629,3.634610998
0,0,52,B,4.950590842,8.898530375
0,0,53,B,8.334539013,3.133285343
0,0,54,B,8.271873306,8.898530375
0,0,55,B,3.258616757,6.454567807
0,0,56,B,6.893227755,3.885273826
0,0,57,B,7.519884824,2.443962568
0,0,58,B,3.634610998,3.446613878
0,0,59,B,7.081224876,3.321282464
0,0,60,B,4.950590842,3.133285343
0,0,61,B,2.945288223,7.895879065
0,0,62,B,8.146541893,8.334539013
0,0,63,B,5.451916497,7.833213358
0,0,64,B,4.19860236,7.018559169
0,0,65,B,5.38925079,10.15184451
0,0,66,B,4.887925136,7.39455341
0,0,67,B,8.334539013,4.699928015
0,0,68,B,5.765245032,5.953242152
0,0,69,B,8.334539013,5.326585084
0,0,70,B,9.149193202,5.953242152
0,0,71,B,2.694625395,4.950590842
0,0,72,B,9.023861789,8.961196082
0,0,73,B,7.770547651,5.890576445
0,0,74,B,5.38925079,6.3919021
0,0,75,B,6.517233514,4.950590842
0,0,76,B,8.271873306,9.838515978
0,0,77,B,2.945288223,6.078573566
0,0,78,B,9.775850271,5.326585084
0,0,79,B,5.702579325,7.833213358
0,0,80,B,3.759942412,4.825259429
0,0,81,B,7.143890583,8.710533254
0,0,82,B,5.765245032,4.511930894
0,0,83,B,2.443962568,7.269221996
0,0,84,B,5.451916497,5.38925079
0,0,85,B,7.770547651,8.773198961
0,0,86,B,6.454567807,7.457219117
0,0,87,B,5.827910739,3.885273826
0,0,88,B,5.013256549,9.58785315
0,0,89,B,5.138587963,3.885273826
0,0,90,B,4.574596601,7.770547651
0,0,91,B,10.0265131,4.887925136
0,0,92,B,8.209207599,7.018559169
0,0,93,B,5.702579325,8.835864668
0,0,94,B,9.838515978,4.135936653
0,0,95,B,4.762593722,3.822608119
0,0,96,B,5.451916497,4.135936653
0,0,97,B,8.083876186,8.39720472
0,0,98,B,4.887925136,6.830562048
0,0,99,B,8.459870427,3.509279584
0,0,100,B,7.770547651,6.3919021
0,250,1,A,4.640380005,6.150904133
0,250,2,A,2.234237137,7.839511418
0,250,3,A,8.825838155,7.654302765
0,250,4,A,7.470828335,8.320613302
0,250,5,A,10.39369006,7.642067204
0,250,6,A,5.778339358,2.796885852
0,250,7,A,9.240685134,2.041335401
0,250,8,A,9.980140475,3.445047235
0,250,9,A,6.791902609,10.30866467
0,250,10,A,6.734536986,2.964306174
0,250,11,A,7.476860605,10.40749566
0,250,12,A,9.63855254,7.993813915
0,250,13,A,6.03492581,10.27624062
0,250,14,A,3.842347816,3.828874689
0,250,15,A,2.954466534,3.760891893
0,250,16,A,10.70617101,6.829626738
0,250,17,A,6.499913847,4.384080256
0,250,18,A,6.61170443,8.143707767
0,250,19,A,3.998894981,6.812205427
0,250,20,A,9.868746673,4.202381197
0,250,21,A,6.312629981,3.639937583
0,250,22,A,3.707668506,10.45730047
0,250,23,A,6.785355446,5.839757987
0,250,24,A,6.752466089,11.15040208
0,250,25,A,3.059395928,5.529858918
0,250,26,A,4.361969675,5.347785422
0,250,27,A,3.600601469,4.541846684
0,250,28,A,6.316955174,5.191491676
0,250,29,A,9.619341891,7.058153919
0,250,30,A,7.168956865,2.234659107
0,250,31,A,6.73625016,1.576982513
0,250,32,A,10.89098652,5.845457136
0,250,33,A,8.353652054,4.988816924
0,250,34,A,8.059313748,4.33904912
0,250,35,A,6.052880626,2.065461698
0,250,36,A,8.128907324,7.83982632
0,250,37,A,2.381296861,6.984234736
0,250,38,A,7.101480456,7.38917302
0,250,39,A,3.747722599,5.444396612
0,250,40,A,6.731052685,8.915535141
0,250,41,A,3.464563351,3.012677475
0,250,42,A,3.162738226,7.297421564
0,250,43,A,3.53591251,9.500121161
0,250,44,A,4.318526073,9.840742678
0,250,45,A,7.068943657,6.615483266
0,250,46,A,4.55987016,10.73651556
0,250,47,A,7.956351472,6.919234024
0,250,48,A,3.224150618,6.412268455
0,250,49,A,10.14804659,6.170673165
0,250,50,A,6.563839166,9.500939907
0,250,51,B,8.310532746,3.483090931
0,250,52,B,4.593805687,8.944191316
0,250,53,B,8.5193871,2.391058855
0,250,54,B,9.248959502,9.74436153
0,250,55,B,2.093974595,6.278477171
0,250,56,B,7.335334317,3.801301778
0,250,57,B,8.002724095,1.745866593
0,250,58,B,2.541126063,2.819640315
0,250,59,B,7.764534275,2.867114336
0,250,60,B,4.919100538,2.254705835
0,250,61,B,2.764497658,8.735286209
0,250,62,B,9.095927352,8.681080372
0,250,63,B,5.276701934,7.706634866
0,250,64,B,3.384888156,7.947264945
0,250,65,B,5.454435722,10.88871765
0,250,66,B,4.446116157,8.058369037
0,250,67,B,9.014820468,4.020581869
0,250,68,B,6.098838595,6.393149179
0,250,69,B,9.253012507,5.001409301
0,250,70,B,9.388519521,5.934347969
0,250,71,B,1.898865389,4.875329013
0,250,72,B,9.841035202,9.072041954
0,250,73,B,7.68312899,5.797831199
0,250,74,B,5.420896972,6.540733154
0,250,75,B,7.293784434,4.899261645
0,250,76,B,8.583635198,10.56418486
0,250,77,B,1.903588935,5.658177995
0,250,78,B,10.08886548,5.187467214
0,250,79,B,5.617353963,8.378405008
0,250,80,B,2.579633823,4.716847756
0,250,81,B,7.725428342,9.323717196
0,250,82,B,5.496409149,4.718727727
0,250,83,B,1.448793731,6.865168483
0,250,84,B,5.402543516,5.521861554
0,250,85,B,8.274100007,9.956849193
0,250,86,B,6.084526808,7.413666451
0,250,87,B,5.407200264,3.866694546
0,250,88,B,5.207551731,9.944323402
0,250,89,B,4.945264257,3.22164399
0,250,90,B,3.687563521,8.64724089
0,250,91,B,10.73221083,4.640411339
0,250,92,B,8.81831827,6.605278832
0,250,93,B,5.503929034,9.157339744
0,250,94,B,10.89029216,3.708928118
0,250,95,B,4.29275997,2.898845618
0,250,96,B,4.687081545,4.39098608
0,250,97,B,8.408541228,8.954898022
0,250,98,B,4.663139192,7.166338003
0,250,99,B,9.218505272,2.991496269
0,250,100,B,8.446083971,5.913449428
0,500,1,A,4.544995714,5.966468081
0,500,2,A,2.430868241,7.70975256
0,500,3,A,8.705179905,7.521459337
0,500,4,A,7.636398953,8.343986107
0,500,5,A,10.29033572,7.64897618
0,500,6,A,5.747698634,3.028633613
0,500,7,A,9.3724203,1.900548005
0,500,8,A,10.06575829,3.404836739
0,500,9,A,6.926127251,10.17409084
0,500,10,A,6.795469253,3.02926027
0,500,11,A,7.447819261,10.70142276
0,500,12,A,9.47254825,7.967004642
0,500,13,A,6.019041144,10.06505251
0,500,14,A,3.963919288,4.003712012
0,500,15,A,2.942468266,3.91002678
0,500,16,A,10.81817936,6.937314183
0,500,17,A,6.468040934,4.398819293
0,500,18,A,6.745311238,8.087693386
0,500,19,A,3.878975765,6.757819445
0,500,20,A,9.969200741,4.125859756
0,500,21,A,6.489033946,3.674717051
0,500,22,A,3.548445651,10.57389805
0,500,23,A,6.800495168,5.914313456
0,500,24,A,6.537489095,11.00099649
0,500,25,A,2.96722122,5.325018441
0,500,26,A,4.360906541,5.062762458
0,500,27,A,3.405772049,4.67560998
0,500,28,A,6.438507752,5.248174224
0,500,29,A,9.469134698,7.115234407
0,500,30,A,7.011912806,2.326859984
0,500,31,A,6.735930502,1.619813575
0,500,32,A,10.7079633,6.01496315
0,500,33,A,8.376106217,4.999715718
0,500,34,A,8.248333905,4.315026973
0,500,35,A,5.998588191,2.193614644
0,500,36,A,8.203224441,7.899028098
0,500,37,A,2.357994035,6.877482602
0,500,38,A,7.106604487,7.403326609
0,500,39,A,3.733175653,5.766189741
0,500,40,A,6.787420331,8.833660345
0,500,41,A,3.495037378,3.271909483
0,500,42,A,3.154591684,7.317474591
0,500,43,A,3.549272271,9.657761628
0,500,44,A,4.33089663,10.0119544
0,500,45,A,6.955893462,6.673897781
0,500,46,A,4.419185648,10.80920778
0,500,47,A,7.865018567,6.851975453
0,500,48,A,3.00795393,6.230851234
0,500,49,A,9.97650713,6.466278066
0,500,50,A,6.698371704,9.44973918
0,500,51,B,8.339839097,3.317541228
0,500,52,B,4.784840048,8.99785552
0,500,53,B,8.619354651,2.304844699
0,500,54,B,9.260668884,9.751287833
0,500,55,B,1.99396611,6.173674287
0,500,56,B,7.518004853,3.871174042
0,500,57,B,7.896512051,1.790720048
0,500,58,B,2.639555532,2.782927073
0,500,59,B,7.779050034,2.809250105
0,500,60,B,4.912051433,2.349964007
0,500,61,B,3.002000687,8.741239451
0,500,62,B,9.253012507,8.737345448
0,500,63,B,5.248489127,7.477058008
0,500,64,B,3.657284018,8.004205713
0,500,65,B,5.372017721,10.72962233
0,500,66,B,4.555606993,8.156353193
0,500,67,B,9.072186091,3.893379837
0,500,68,B,6.009393107,6.39283278
0,500,69,B,9.315257326,4.88259855
0,500,70,B,9.454688523,5.763678389
0,500,71,B,1.554736187,4.878838608
0,500,72,B,9.978332933,9.267911654
0,500,73,B,7.675609105,5.72294568
0,500,74,B,5.177006135,6.500228748
0,500,75,B,7.317787919,4.838105899
0,500,76,B,8.542060123,10.62671831
0,500,77,B,1.7761519,5.579118529
0,500,78,B,10.13893348,5.13827306
0,500,79,B,5.614036734,8.224484314
0,500,80,B,2.281658387,4.595589613
0,500,81,B,7.751338563,9.41245215
0,500,82,B,5.659122704,4.798492669
0,500,83,B,1.380212194,6.807689065
0,500,84,B,5.413498325,5.567800819
0,500,85,B,8.313755411,9.990929054
0,500,86,B,6.039094171,7.356014
0,500,87,B,5.372017721,3.880260569
0,500,88,B,5.16724414,9.779629107
0,500,89,B,4.787346676,3.29214291
0,500,90,B,3.868126493,8.836799979
0,500,91,B,10.81996223,4.698978534
0,500,92,B,8.859677637,6.455821121
0,500,93,B,5.723259008,9.011955304
0,500,94,B,10.98539288,3.810956706
0,500,95,B,4.176042706,2.690238796
0,500,96,B,4.811786302,4.401952579
0,500,97,B,8.457036301,9.017563728
0,500,98,B,4.410532113,7.203722164
0,500,99,B,9.26731806,2.942154937
0,500,100,B,8.439401726,5.861920268
0,750,1,A,4.322359258,5.967097887
0,750,2,A,2.445215882,7.632683096
0,750,3,A,8.583942229,7.491228648
0,750,4,A,7.599555296,8.549302894
0,750,5,A,10.19226389,7.688142247
0,750,6,A,5.758246831,3.072528236
0,750,7,A,9.435086007,1.956354779
0,750,8,A,10.16570024,3.338602132
0,750,9,A,7.098771274,10.00928003
0,750,10,A,6.802535676,3.282864292
0,750,11,A,7.394236917,10.71836782
0,750,12,A,9.359233537,7.949097678
0,750,13,A,6.170822576,9.884958586
0,750,14,A,3.971752501,4.103977143
0,750,15,A,2.802007335,4.057525794
0,750,16,A,10.8424206,6.946180278
0,750,17,A,6.481514061,4.582116486
0,750,18,A,6.602053767,8.041782553
0,750,19,A,3.890970708,6.711876997
0,750,20,A,10.03533038,4.089645905
0,750,21,A,6.316389924,3.864594142
0,750,22,A,3.610241001,10.68861744
0,750,23,A,6.760968472,6.042989521
0,750,24,A,6.431381496,10.75280864
0,750,25,A,2.696192038,5.303398772
0,750,26,A,4.311022749,5.017035386
0,750,27,A,3.348406426,4.742952231
0,750,28,A,6.353744268,5.387699659
0,750,29,A,9.26539243,7.071777782
0,750,30,A,7.01666021,2.493652042
0,750,31,A,6.559219538,1.862424808
0,750,32,A,10.59239388,6.153205588
0,750,33,A,8.318714337,4.989519539
0,750,34,A,8.247819802,4.335960525
